###################################################################################
#
# Additional data for each star classification
#
# Format by column:
#   1   Star classification letter [O,B,A,F,G,K,M,N,WC,WN,R,C,S,DA,DB,DC,DO,DQ,DZ]
#   2   Star classification number [0-9]
#   3   Luminosity (empty for Dwarf types) [Ia0,Ia,Ib,II,III,IV,V,VI]
#   4   Mass [mass of star/mass of sun]
#   5   Luminosity [luminosity of star/luminosity of sun]
#   6   Radius [radius of star/radius of sun]
#   7   Temperature [K]
#   8   Colour Index B-V
#   9   Absolute Magnitude
#   10  Bolometric Correction (Temperature)
#   11  Bolometric Magnitude
#   12  RGB Colour, R component [0-255]
#   13  RGB Colour, G component [0-255]
#   14  RGB Colour, B component [0-255]
#
# Source: http://www.isthe.com/chongo/tech/astro/HR-temp-mass-table-byhrclass.html
#
###################################################################################
O,5,III,92.8,5.25e+05,1.64e+01,39000,-0.33,-5.7,-3.85,-9.55,154,174,255
O,5,IV,76.4,4.37e+05,1.49e+01,39000,-0.33,-5.5,-3.85,-9.35,150,172,255
O,5,V,60.0,3.98e+05,1.42e+01,39000,-0.33,-5.4,-3.85,-9.25,155,176,255
O,5,VI,17.5,3.02e+05,1.24e+01,39000,-0.33,-5.1,-3.85,-8.95,155,176,255
O,6,Ia0,136.7,7.81e+06,7.66e+01,35400,-0.32,-8.9,-3.58,-12.48,157,178,255
O,6,Ia,120.1,1.36e+06,3.19e+01,35400,-0.32,-7.0,-3.58,-10.58,157,178,255
O,6,Ib,103.5,7.81e+05,2.42e+01,35400,-0.32,-6.4,-3.58,-9.98,157,178,255
O,6,II,86.9,6.54e+05,2.05e+01,36800,-0.32,-6.1,-3.69,-9.79,155,179,255
O,6,III,70.2,3.76e+05,1.56e+01,36800,-0.32,-5.5,-3.69,-9.19,156,175,255
O,6,IV,53.6,3.13e+05,1.42e+01,36800,-0.32,-5.3,-3.69,-8.99,151,174,255
O,6,V,37.0,2.60e+05,1.29e+01,36800,-0.32,-5.1,-3.69,-8.79,162,184,255
O,6,VI,14.2,1.80e+05,1.08e+01,36800,-0.32,-4.7,-3.69,-8.39,162,184,255
O,7,Ia0,115.1,5.88e+06,7.74e+01,32800,-0.31,-8.8,-3.37,-12.17,160,181,255
O,7,Ia,100.9,1.12e+06,3.38e+01,32800,-0.31,-7.0,-3.37,-10.37,160,181,255
O,7,Ib,86.7,5.88e+05,2.45e+01,32800,-0.31,-6.3,-3.37,-9.67,160,181,255
O,7,II,72.5,5.10e+05,2.05e+01,34600,-0.32,-6.0,-3.52,-9.52,156,181,255
O,7,III,58.4,2.94e+05,1.55e+01,34600,-0.32,-5.4,-3.52,-8.92,158,177,255
O,7,IV,44.2,2.23e+05,1.35e+01,34600,-0.32,-5.1,-3.52,-8.62,152,175,255
O,7,V,30.0,1.54e+05,1.13e+01,34600,-0.32,-4.7,-3.52,-8.22,157,177,255
O,7,VI,10.9,1.07e+05,9.36e+00,34600,-0.32,-4.3,-3.52,-7.82,157,177,255
O,8,Ia0,93.4,4.37e+06,7.87e+01,30200,-0.30,-8.7,-3.15,-11.85,162,183,255
O,8,Ia,81.7,9.13e+05,3.60e+01,30200,-0.30,-7.0,-3.15,-10.15,162,183,255
O,8,Ib,69.9,4.37e+05,2.49e+01,30200,-0.30,-6.2,-3.15,-9.35,162,183,255
O,8,II,58.2,3.60e+05,1.96e+01,32400,-0.31,-5.8,-3.34,-9.14,158,183,255
O,8,III,46.5,2.07e+05,1.49e+01,32400,-0.31,-5.2,-3.34,-8.54,157,178,255
O,8,IV,34.7,1.57e+05,1.30e+01,32400,-0.31,-4.9,-3.34,-8.24,153,176,255
O,8,V,23.0,9.91e+04,1.03e+01,32400,-0.31,-4.4,-3.34,-7.74,157,177,255
O,8,VI,7.6,5.70e+04,7.81e+00,32400,-0.31,-3.8,-3.34,-7.14,157,177,255
O,9,Ia0,71.8,3.19e+06,8.05e+01,27600,-0.29,-8.6,-2.91,-11.51,164,185,255
O,9,Ia,63.1,7.31e+05,3.85e+01,27600,-0.29,-7.0,-2.91,-9.91,164,185,255
O,9,Ib,54.5,3.19e+05,2.55e+01,27600,-0.29,-6.1,-2.91,-9.01,164,185,255
O,9,II,45.9,2.76e+05,1.98e+01,30200,-0.30,-5.7,-3.15,-8.85,160,186,255
O,9,III,37.3,1.59e+05,1.50e+01,30200,-0.30,-5.1,-3.15,-8.25,158,177,255
O,9,IV,28.6,1.10e+05,1.25e+01,30200,-0.30,-4.7,-3.15,-7.85,155,177,255
O,9,V,20.0,5.76e+04,9.04e+00,30200,-0.30,-4.0,-3.15,-7.15,154,178,255
O,9,VI,6.7,3.31e+04,6.85e+00,30200,-0.30,-3.4,-3.15,-6.55,154,178,255
B,0,Ia0,50.1,2.28e+06,8.30e+01,25000,-0.27,-8.5,-2.65,-11.15,161,189,255
B,0,Ia,44.7,5.73e+05,4.16e+01,25000,-0.27,-7.0,-2.65,-9.65,161,189,255
B,0,Ib,39.2,2.28e+05,2.62e+01,25000,-0.27,-6.0,-2.65,-8.65,161,189,255
B,0,II,33.8,1.90e+05,1.91e+01,28000,-0.29,-5.5,-2.95,-8.45,162,188,255
B,0,III,28.4,1.09e+05,1.45e+01,28000,-0.29,-4.9,-2.95,-7.85,158,177,255
B,0,IV,22.9,7.57e+04,1.21e+01,28000,-0.29,-4.5,-2.95,-7.45,156,179,255
B,0,V,17.5,3.62e+04,8.34e+00,28000,-0.29,-3.7,-2.95,-6.65,156,178,255
B,0,VI,5.9,1.90e+04,6.04e+00,28000,-0.29,-3.0,-2.95,-5.95,156,178,255
B,1,Ia0,45.1,2.02e+06,8.62e+01,23790,-0.26,-8.5,-2.51,-11.01,168,193,255
B,1,Ia,40.0,5.07e+05,4.32e+01,23790,-0.26,-7.0,-2.51,-9.51,168,193,255
B,1,Ib,34.8,1.84e+05,2.60e+01,23790,-0.26,-5.9,-2.51,-8.41,168,193,255
B,1,II,29.7,1.34e+05,1.83e+01,26190,-0.28,-5.3,-2.77,-8.07,163,190,255
B,1,III,24.5,5.34e+04,1.16e+01,26190,-0.28,-4.3,-2.77,-7.07,158,177,255
B,1,IV,19.4,3.70e+04,9.63e+00,26190,-0.28,-3.9,-2.77,-6.67,157,180,255
B,1,V,14.2,1.94e+04,6.97e+00,26190,-0.28,-3.2,-2.77,-5.97,160,182,255
B,1,VI,5.2,1.02e+04,5.05e+00,26190,-0.28,-2.5,-2.77,-5.27,160,182,255
B,2,Ia0,40.1,1.62e+06,8.57e+01,22580,-0.25,-8.4,-2.37,-10.77,177,196,255
B,2,Ia,35.2,4.46e+05,4.50e+01,22580,-0.25,-7.0,-2.37,-9.37,177,196,255
B,2,Ib,30.4,1.62e+05,2.71e+01,22580,-0.25,-5.9,-2.37,-8.27,177,196,255
B,2,II,25.5,9.36e+04,1.77e+01,24380,-0.27,-5.1,-2.58,-7.68,165,192,255
B,2,III,20.6,2.83e+04,9.71e+00,24380,-0.27,-3.8,-2.58,-6.38,159,180,255
B,2,IV,15.8,1.96e+04,8.08e+00,24380,-0.27,-3.4,-2.58,-5.98,159,179,255
B,2,V,10.9,9.36e+03,5.59e+00,24380,-0.27,-2.6,-2.58,-5.18,160,180,255
B,2,VI,4.5,5.39e+03,4.24e+00,24380,-0.27,-2.0,-2.58,-4.58,160,180,255
B,3,Ia0,35.1,1.42e+06,8.95e+01,21370,-0.24,-8.4,-2.23,-10.63,175,194,255
B,3,Ia,30.5,4.28e+05,4.92e+01,21370,-0.24,-7.1,-2.23,-9.33,175,194,255
B,3,Ib,25.9,1.29e+05,2.70e+01,21370,-0.24,-5.8,-2.23,-8.03,175,194,255
B,3,II,21.4,6.45e+04,1.71e+01,22570,-0.25,-4.9,-2.37,-7.27,168,193,255
B,3,III,16.8,1.35e+04,7.82e+00,22570,-0.25,-3.2,-2.37,-5.57,163,187,255
B,3,IV,12.2,9.32e+03,6.51e+00,22570,-0.25,-2.8,-2.37,-5.17,166,188,255
B,3,V,7.6,4.89e+03,4.71e+00,22570,-0.25,-2.1,-2.37,-4.47,165,185,255
B,3,VI,3.8,2.57e+03,3.41e+00,22570,-0.25,-1.4,-2.37,-3.77,165,185,255
B,4,Ia0,30.1,1.23e+06,9.37e+01,20160,-0.23,-8.4,-2.07,-10.47,187,203,255
B,4,Ia,26.2,3.38e+05,4.92e+01,20160,-0.23,-7.0,-2.07,-9.07,187,203,255
B,4,Ib,22.3,1.12e+05,2.83e+01,20160,-0.23,-5.8,-2.07,-7.87,187,203,255
B,4,II,18.4,4.37e+04,1.67e+01,20760,-0.24,-4.7,-2.15,-6.85,172,194,255
B,4,III,14.5,6.93e+03,6.63e+00,20760,-0.24,-2.7,-2.15,-4.85,166,188,255
B,4,IV,10.6,4.79e+03,5.52e+00,20760,-0.24,-2.3,-2.15,-4.45,169,190,255
B,4,V,6.7,2.29e+03,3.82e+00,20760,-0.24,-1.5,-2.15,-3.65,164,184,255
B,4,VI,3.4,1.32e+03,2.89e+00,20760,-0.24,-0.9,-2.15,-3.05,164,184,255
B,5,Ia0,25.1,9.65e+05,9.39e+01,18950,-0.22,-8.3,-1.91,-10.21,179,202,255
B,5,Ia,21.9,2.91e+05,5.16e+01,18950,-0.22,-7.0,-1.91,-8.91,179,202,255
B,5,Ib,18.7,8.80e+04,2.84e+01,18950,-0.22,-5.7,-1.91,-7.61,179,202,255
B,5,II,15.5,2.91e+04,1.63e+01,18950,-0.22,-4.5,-1.91,-6.41,175,195,255
B,5,III,12.3,3.19e+03,5.40e+00,18950,-0.22,-2.1,-1.91,-4.01,168,189,255
